...1,n_guesses,entropy_start,entropy_end,mean_entropy_drop,max_entropy_drop,early_entropy_drop,monotone_entropy,green_fraction,yellow_fraction,valid,source
96100,5,0,10,4,10,2,0,0.32,0.16,NA,real
911674,4,1,10,5.25,10,5,0,0.5,0.05,NA,real
3580863,5,0,10,4.6,10,2,0,0.4,0.12,NA,real
733070,4,3,10,6.75,10,9,0,0.65,0.05,NA,real
4894271,3,3,10,4.666666666666667,10,4,0,0.4,0.13333333333333333,NA,real
2588702,3,4,10,6.666666666666667,10,10,0,0.6666666666666666,0,NA,real
2052510,2,7,10,8.5,10,17,0,0.8,0.1,NA,real
2785113,3,4,10,7.333333333333333,10,12,0,0.7333333333333333,0,NA,real
4866721,6,1,8,4.666666666666667,8,5,0,0.36666666666666664,0.2,NA,real
5683289,2,2,10,6,10,12,0,0.5,0.2,NA,real
567949,5,0,10,4.2,10,4,0,0.36,0.12,NA,real
6343332,6,2,10,5.333333333333333,10,6,0,0.43333333333333335,0.2,NA,real
6756917,3,1,10,4.333333333333333,10,3,0,0.3333333333333333,0.2,NA,real
5617287,3,2,10,5.666666666666667,10,7,0,0.4666666666666667,0.2,NA,real
978164,6,2,10,3.3333333333333335,10,5,0,0.16666666666666666,0.3333333333333333,NA,real
1264740,5,3,10,3.4,10,3,0,0.24,0.2,NA,real
477360,3,1,10,4.333333333333333,10,3,0,0.4,0.06666666666666667,NA,real
5442535,4,2,10,5,10,5,0,0.45,0.1,NA,real
1634060,6,0,10,6,10,6,0,0.6,0,NA,real
144946,6,3,10,5.5,10,6,0,0.5,0.1,NA,real
155452,3,1,10,5.333333333333333,10,6,0,0.4666666666666667,0.13333333333333333,NA,real
1708362,5,2,10,5.4,10,5,0,0.44,0.2,NA,real
6255233,5,0,10,4.6,10,1,0,0.36,0.2,NA,real
860310,6,3,10,5,10,3,0,0.4666666666666667,0.06666666666666667,NA,real
4167053,6,2,10,5.833333333333333,10,6,0,0.5666666666666667,0.03333333333333333,NA,real
1641139,2,1,10,5.5,10,11,0,0.5,0.1,NA,real
6622838,4,2,10,4.5,10,5,0,0.35,0.2,NA,real
3682634,4,0,10,6.5,10,8,0,0.65,0,NA,real
6293771,3,3,10,6.333333333333333,10,9,0,0.4666666666666667,0.3333333333333333,NA,real
6840101,3,4,10,7,10,11,0,0.5333333333333333,0.3333333333333333,NA,real
1959651,6,1,10,6,10,4,0,0.5,0.2,NA,real
4938081,4,3,10,6.5,10,8,0,0.6,0.1,NA,real
6242834,6,0,8,4.333333333333333,8,2,0,0.43333333333333335,0,NA,real
4836956,3,3,10,6.333333333333333,10,9,0,0.6,0.06666666666666667,NA,real
754380,3,0,10,4,10,2,0,0.3333333333333333,0.13333333333333333,NA,real
3201488,5,2,10,5.4,10,6,0,0.48,0.12,NA,real
4261744,5,1,10,3.6,10,3,0,0.24,0.24,NA,real
639340,2,8,10,9,10,18,0,0.9,0,NA,real
3382455,5,2,10,5.4,10,5,0,0.4,0.28,NA,real
836804,6,2,8,4.166666666666667,8,5,0,0.26666666666666666,0.3,NA,real
6490624,3,4,10,6.333333333333333,10,9,0,0.5333333333333333,0.2,NA,real
1246820,1,10,10,10,10,10,1,1,0,NA,real
1471796,6,1,10,4.5,10,2,0,0.36666666666666664,0.16666666666666666,NA,real
5726708,4,4,10,7,10,10,0,0.7,0,NA,real
2206992,3,2,10,6,10,8,0,0.5333333333333333,0.13333333333333333,NA,real
1962174,6,0,8,4.833333333333333,8,2,0,0.4666666666666667,0.03333333333333333,NA,real
383685,6,4,10,7.333333333333333,10,10,0,0.6333333333333333,0.2,NA,real
61431,3,2,10,5.333333333333333,10,6,0,0.4,0.26666666666666666,NA,real
2252910,2,3,10,6.5,10,13,0,0.6,0.1,NA,real
2576852,6,2,10,4.666666666666667,10,4,0,0.36666666666666664,0.2,NA,real
2196491,6,2,10,5.666666666666667,10,6,0,0.5333333333333333,0.06666666666666667,NA,real
4857143,4,3,10,6.25,10,7,0,0.5,0.25,NA,real
3188274,3,2,10,5.333333333333333,10,6,0,0.4,0.26666666666666666,NA,real
5521925,6,2,10,4.833333333333333,10,4,0,0.36666666666666664,0.23333333333333334,NA,real
4715699,6,0,10,4.166666666666667,10,3,0,0.3,0.23333333333333334,NA,real
4130155,2,4,10,7,10,14,0,0.5,0.4,NA,real
740028,6,1,10,4.833333333333333,10,2,0,0.4,0.16666666666666666,NA,real
2232993,3,2,10,5.666666666666667,10,7,0,0.4666666666666667,0.2,NA,real
3969201,3,2,10,6,10,8,0,0.6,0,NA,real
5500979,5,4,10,5.6,10,8,0,0.48,0.16,NA,real
926105,1,10,10,10,10,10,1,1,0,NA,real
2122607,6,2,10,6,10,7,0,0.5333333333333333,0.13333333333333333,NA,real
6782221,5,1,10,4.6,10,3,0,0.4,0.12,NA,real
1870005,5,2,10,4.8,10,6,0,0.4,0.16,NA,real
3308873,4,3,10,6.25,10,7,0,0.6,0.05,NA,real
2274438,6,1,2,1.8333333333333333,4,2,0,0.06666666666666667,0.23333333333333334,NA,real
37869,6,2,10,5,10,5,0,0.36666666666666664,0.26666666666666666,NA,real
5268593,1,10,10,10,10,10,1,1,0,NA,real
4739884,3,0,10,4.666666666666667,10,4,0,0.4666666666666667,0,NA,real
3618434,3,0,10,4.666666666666667,10,4,0,0.4,0.13333333333333333,NA,real
4667309,4,2,10,5.75,10,5,0,0.45,0.25,NA,real
655423,5,1,10,5,10,3,0,0.4,0.2,NA,real
4920601,5,1,10,6.2,10,5,0,0.6,0.04,NA,real
1868023,4,2,10,6.25,10,7,0,0.55,0.15,NA,real
4314592,4,0,10,3.75,10,2,0,0.35,0.05,NA,real
5010408,4,0,10,4,10,2,0,0.25,0.3,NA,real
5411677,5,5,10,7.8,10,13,0,0.76,0.04,NA,real
6865818,5,4,10,6,10,8,0,0.6,0,NA,real
669901,3,2,10,6,10,8,0,0.6,0,NA,real
5811289,4,1,10,3.5,10,2,0,0.25,0.2,NA,real
305264,6,1,6,3.6666666666666665,6,2,0,0.3,0.13333333333333333,NA,real
6194458,3,1,10,4.666666666666667,10,4,0,0.4,0.13333333333333333,NA,real
4568754,4,1,10,4.25,10,3,0,0.4,0.05,NA,real
3966265,2,2,10,6,10,12,0,0.5,0.2,NA,real
5260604,5,0,10,3,10,3,0,0.2,0.2,NA,real
4776852,3,3,10,6.333333333333333,10,9,0,0.5333333333333333,0.2,NA,real
1837035,3,5,10,6.666666666666667,10,10,0,0.6,0.13333333333333333,NA,real
715178,6,0,10,3.6666666666666665,10,2,0,0.26666666666666666,0.2,NA,real
5397644,2,5,10,7.5,10,15,0,0.6,0.3,NA,real
2241024,4,1,10,4,10,2,0,0.3,0.2,NA,real
2730525,2,3,10,6.5,10,13,0,0.5,0.3,NA,real
6318689,5,0,10,3.6,10,2,0,0.24,0.24,NA,real
6409460,4,2,10,5.25,10,6,0,0.25,0.55,NA,real
5727819,4,5,10,7.75,10,13,0,0.75,0.05,NA,real
2457809,5,0,10,4.8,10,3,0,0.4,0.16,NA,real
6393802,4,4,10,6.75,10,9,0,0.65,0.05,NA,real
4246476,6,1,10,5.666666666666667,10,4,0,0.5333333333333333,0.06666666666666667,NA,real
5809868,3,4,10,6,10,8,0,0.6,0,NA,real
2935460,4,2,10,4.75,10,5,0,0.4,0.15,NA,real
6495509,4,1,10,4.5,10,3,0,0.3,0.3,NA,real
2950970,3,2,10,5.666666666666667,10,7,0,0.5333333333333333,0.06666666666666667,NA,real
1737576,5,4,10,6.2,10,8,0,0.6,0.04,NA,real
1539328,3,4,10,5.666666666666667,10,7,0,0.4666666666666667,0.2,NA,real
2053174,2,6,10,8,10,16,0,0.7,0.2,NA,real
5866705,6,2,10,5.333333333333333,10,5,0,0.5,0.06666666666666667,NA,real
1666519,1,10,10,10,10,10,1,1,0,NA,real
4052321,2,3,10,6.5,10,13,0,0.6,0.1,NA,real
6690641,3,1,10,6.333333333333333,10,9,0,0.6,0.06666666666666667,NA,real
1996540,3,1,10,6.333333333333333,10,9,0,0.6,0.06666666666666667,NA,real
751615,2,0,10,5,10,10,0,0.5,0,NA,real
4981333,5,3,10,4.4,10,4,0,0.24,0.4,NA,real
3347374,2,2,10,6,10,12,0,0.6,0,NA,real
1969634,3,3,10,6.666666666666667,10,10,0,0.5333333333333333,0.26666666666666666,NA,real
566715,5,0,10,3.2,10,1,0,0.24,0.16,NA,real
692288,6,2,8,4.833333333333333,8,5,0,0.43333333333333335,0.1,NA,real
4775323,3,2,10,5,10,5,0,0.4666666666666667,0.06666666666666667,NA,real
1255209,3,3,10,7,10,11,0,0.6,0.2,NA,real
2139248,4,1,10,5.5,10,5,0,0.45,0.2,NA,real
1285708,3,1,10,4.666666666666667,10,4,0,0.4,0.13333333333333333,NA,real
1031142,4,1,10,5.5,10,6,0,0.5,0.1,NA,real
